ENSG00000223972	1	11868	21868	+
ENSG00000227232	1	19569	29569	-
ENSG00000186092	1	65418	75418	+
ENSG00000233750	1	131024	141024	+
ENSG00000268903	1	125894	135894	-
ENSG00000269981	1	127964	137964	-
ENSG00000279457	1	185410	195410	-
ENSG00000228463	1	349680	359680	-
ENSG00000237094	1	512927	522927	-
ENSG00000250575	1	483240	493240	-
ENSG00000230021	1	817795	827795	-
ENSG00000225972	1	629061	639061	+
ENSG00000225630	1	629639	639639	+
ENSG00000237973	1	631073	641073	+
ENSG00000278791	1	622412	632412	-
ENSG00000229344	1	632756	642756	+
ENSG00000240409	1	633534	643534	+
ENSG00000248527	1	633695	643695	+
ENSG00000198744	1	634375	644375	+
ENSG00000228327	1	768625	778625	-
ENSG00000223181	1	748335	758335	-
ENSG00000230092	1	807711	817711	-
ENSG00000234711	1	873291	883291	+
ENSG00000187634	1	923927	933927	+
ENSG00000188976	1	949308	959308	-
ENSG00000187961	1	960583	970583	+
ENSG00000187583	1	966496	976496	+
ENSG00000187642	1	972092	982092	-
ENSG00000188290	1	990171	1000171	-
ENSG00000187608	1	1001137	1011137	+
ENSG00000231702	1	998228	1008228	-
ENSG00000188157	1	1020119	1030119	+
ENSG00000217801	1	1059707	1069707	+
ENSG00000237330	1	1064305	1074305	-
ENSG00000131591	1	1106360	1116360	-
ENSG00000162571	1	1173883	1183883	+
ENSG00000186891	1	1196591	1206591	-
ENSG00000186827	1	1204152	1214152	-
ENSG00000078808	1	1222030	1232030	-
ENSG00000176022	1	1232225	1242225	+
ENSG00000184163	1	1236721	1246721	-
ENSG00000160087	1	1263884	1273884	-
ENSG00000162572	1	1280435	1290435	+
ENSG00000131584	1	1299608	1309608	-
ENSG00000169972	1	1308596	1318596	+
ENSG00000127054	1	1314690	1324690	-
ENSG00000224051	1	1324755	1334755	+
ENSG00000169962	1	1331279	1341279	+
ENSG00000107404	1	1339417	1349417	-
ENSG00000162576	1	1351776	1361776	-
ENSG00000175756	1	1365494	1375494	-
ENSG00000223663	1	1378665	1388665	+
ENSG00000221978	1	1389334	1399334	-
ENSG00000242485	1	1397292	1407292	-
ENSG00000235098	1	1411768	1421768	-
ENSG00000205116	1	1426127	1436127	+
ENSG00000179403	1	1434860	1444860	+
ENSG00000215915	1	1449688	1459688	+
ENSG00000160072	1	1471768	1481768	+
ENSG00000284740	1	1503249	1513249	+
ENSG00000197785	1	1512150	1522150	+
ENSG00000205090	1	1530623	1540623	-
ENSG00000160075	1	1564862	1574862	-
ENSG00000228594	1	1590134	1600134	-
ENSG00000197530	1	1615414	1625414	+
ENSG00000189409	1	1632094	1642094	+
ENSG00000248333	1	1649011	1659011	-
ENSG00000189339	1	1682727	1692727	-
ENSG00000269737	1	1671989	1681989	+
ENSG00000215914	1	1699941	1709941	+
ENSG00000008128	1	1714356	1724356	-
ENSG00000227775	1	1724511	1734511	+
ENSG00000215790	1	1735998	1745998	-
ENSG00000008130	1	1770456	1780456	-
ENSG00000078369	1	1881116	1891116	-
ENSG00000169885	1	1915107	1925107	+
ENSG00000178821	1	1909278	1919278	-
ENSG00000142609	1	1993836	2003836	-
ENSG00000187730	1	2019328	2029328	+
ENSG00000067606	1	2050410	2060410	+
ENSG00000162585	1	2202719	2212719	-
ENSG00000157933	1	2228318	2238318	+
ENSG00000116151	1	2381706	2391706	-
ENSG00000269896	1	2342819	2352819	-
ENSG00000157916	1	2391774	2401774	+
ENSG00000157911	1	2403796	2413796	-
ENSG00000149527	1	2425979	2435979	+
ENSG00000157881	1	2516627	2526627	-
ENSG00000197921	1	2520262	2530262	-
ENSG00000157873	1	2555638	2565638	+
ENSG00000157870	1	2586490	2596490	+
ENSG00000142606	1	2623015	2633015	-
ENSG00000215912	1	2791716	2801716	-
ENSG00000169717	1	3021482	3031482	+
ENSG00000142611	1	3069167	3079167	+
ENSG00000130762	1	3454664	3464664	+
ENSG00000162591	1	3601507	3611507	-
ENSG00000158109	1	3625014	3635014	+
ENSG00000116213	1	3642760	3652760	-
ENSG00000078900	1	3652515	3662515	+
ENSG00000227372	1	3737372	3747372	-
ENSG00000276189	1	3736942	3746942	+
ENSG00000162592	1	3746459	3756459	+
ENSG00000235169	1	3772760	3782760	+
ENSG00000130764	1	3786497	3796497	-
ENSG00000266075	1	3782814	3792814	+
ENSG00000116198	1	3847213	3857213	-
ENSG00000169598	1	3857266	3867266	+
ENSG00000198912	1	3890292	3900292	-
ENSG00000229280	1	4165898	4175898	-
ENSG00000196581	1	4654731	4664731	+
ENSG00000131697	1	5982472	5992472	-
ENSG00000069424	1	5991465	6001465	+
ENSG00000116254	1	6170320	6180320	-
ENSG00000285629	1	6187756	6197756	-
ENSG00000116251	1	6199388	6209388	-
ENSG00000158286	1	6205474	6215474	+
ENSG00000116237	1	6225971	6235971	-
ENSG00000158292	1	6251097	6261097	-
ENSG00000097021	1	6384390	6394390	-
ENSG00000069812	1	6414669	6424669	-
ENSG00000187017	1	6424775	6434775	+
ENSG00000215788	1	6456194	6466194	-
ENSG00000171680	1	6510060	6520060	-
ENSG00000162408	1	6544512	6554512	-
ENSG00000253022	1	6540853	6550853	+
ENSG00000229519	1	6547904	6557904	+
ENSG00000173662	1	6555306	6565306	+
ENSG00000204859	1	6579993	6589993	+
ENSG00000162413	1	6604606	6614606	-
ENSG00000116273	1	6613730	6623730	+
ENSG00000041988	1	6624865	6634865	+
ENSG00000007923	1	6691923	6701923	-
ENSG00000171735	1	6785453	6795453	+
ENSG00000227950	1	6824617	6834617	-
